Section,Field,Value
BUSINESS DETAILS,Trading Name,[fill in]
BUSINESS DETAILS,Legal / Registered Name,[fill in]
BUSINESS DETAILS,Registered Address,[fill in — single line, exact format used everywhere]
BUSINESS DETAILS,Primary Phone (landline),[fill in]
BUSINESS DETAILS,Mobile (alternate / on-site),[fill in]
BUSINESS DETAILS,Email,[fill in]
BUSINESS DETAILS,Website,[fill in]
BUSINESS DETAILS,Year Established,[fill in]
BUSINESS DETAILS,Company Number (Ltd),[fill in if registered]
BUSINESS DETAILS,VAT Number,[fill in if registered]
BUSINESS DETAILS,Opening Hours,[fill in]
BUSINESS DETAILS,Business Type,[fill in — e.g. service-area business with hidden address, or storefront]
BUSINESS DETAILS,Owner / Principal,[fill in]
BUSINESS DETAILS,Slogan / Tagline,[fill in]
BUSINESS DETAILS,Price Range Indicator,[£ / ££ / £££]
BUSINESS DETAILS,Currency,[fill in — e.g. GBP]
,,
GBP SERVICE AREAS — TIER 1 (immediate / primary),[Area name],[postcode range — drive time]
GBP SERVICE AREAS — TIER 1 (immediate / primary),[Area name],[postcode range — drive time]
,,
GBP SERVICE AREAS — TIER 2 (wider / remote delivery),[Area name],[postcode range — drive time]
GBP SERVICE AREAS — TIER 2 (wider / remote delivery),[Area name],[postcode range — drive time]
,,
GBP CATEGORIES,Primary Category,[fill in]
GBP CATEGORIES,Secondary Category 1,[fill in]
GBP CATEGORIES,Secondary Category 2,[fill in]
,,
CREDENTIALS,Professional Indemnity Insurance Provider,[fill in if applicable]
CREDENTIALS,Public Liability Insurance,[fill in if applicable]
CREDENTIALS,ICO Registration No. (data protection),[fill in if processing personal data]
CREDENTIALS,Industry Body Memberships,[fill in if applicable]
CREDENTIALS,Trade accreditations / certifications,[fill in if applicable]
,,
REVIEWS (existing aggregates),Google Business Profile,[rating across N reviews — only if real]
REVIEWS (existing aggregates),Trustpilot / other,[rating across N reviews — only if real]
,,
DESCRIPTIONS,Starpline (50 chars max),[fill in]
DESCRIPTIONS,Summary (180 chars max),[fill in]
DESCRIPTIONS,Short (~50 words),[fill in]
DESCRIPTIONS,Medium (~150 words),[fill in]
DESCRIPTIONS,Long (~300 words),[fill in]
,,
ASSETS,Logo (high-res PNG transparent),[file link]
ASSETS,Cover photo,[file link]
ASSETS,Team / Founder portrait,[file link]
ASSETS,Office / workspace photo,[file link]
,,
SOCIAL PROFILES (live),LinkedIn,[URL]
SOCIAL PROFILES (live),Facebook,[URL]
SOCIAL PROFILES (live),Instagram,[URL]
SOCIAL PROFILES (live),Twitter / X,[URL]
SOCIAL PROFILES (live),Google Business Profile review link,[URL]
SOCIAL PROFILES (live),Trustpilot,[URL]
